date,ec_topic_0,ec_topic_1,ec_topic_2,ec_topic_3,ec_topic_4,ec_topic_5,ec_topic_6,ec_topic_7,ec_topic_8,ec_topic_9,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2022-06,0.12359741,0.00055488327,0.06854476,0.10511215,0.0005548808,0.13665044,0.057903115,0.009510794,0.48391363,0.013657956,0.14336644,0.14791399,0.06619578,0.05885686,0.09551141,0.2008093,0.043670505,0.112949625,0.02642509,0.10430104
2022-07,0.07875187,0.019794224,0.0683741,0.085925825,0.0006730697,0.16253008,0.094205886,0.030404659,0.45866725,0.00067307707,0.044548403,0.10735711,0.058680933,0.045812923,0.13488626,0.35578728,0.03774972,0.14921825,0.01925566,0.046703454
2022-08,0.042990632,0.007823874,0.04026065,0.012620778,0.015442286,0.44891196,0.0008549921,0.0430973,0.38301498,0.0049825194,0.060258616,0.107392855,0.036670327,0.03101176,0.17835063,0.36208132,0.011694926,0.12471044,0.03416885,0.053660203
2022-09,0.0004133376,0.0065370887,0.04719375,0.0699718,0.014361418,0.3580303,0.0536884,0.016654875,0.42586148,0.007287548,0.05479952,0.07894681,0.13095352,0.059851542,0.24256034,0.21636058,0.02823155,0.056531314,0.022893826,0.10887106
2022-10,0.00044019168,0.0034639076,0.10439757,0.064545915,0.037719183,0.30804428,0.0046390756,0.022963453,0.44307974,0.0107067125,0.09802656,0.12854455,0.12260187,0.07188505,0.16604795,0.17008212,0.018116413,0.087387525,0.033195853,0.1041121
2022-11,0.008736228,0.00048029766,0.07652067,0.14161795,0.00048031134,0.038568296,0.037004214,0.0004803696,0.6099544,0.08615727,0.07214656,0.107765675,0.12915634,0.11760001,0.1402977,0.22161092,0.04172506,0.103461474,0.019973572,0.046262745
2022-12,0.14141662,0.004389245,0.042744022,0.050497517,0.033174757,0.2725323,0.02656624,0.005874499,0.41635314,0.006451654,0.10859884,0.081950985,0.10456448,0.09933201,0.09502851,0.2663773,0.04757406,0.07817234,0.0848053,0.033596195
2022-13,0.05096692,0.0004196405,0.0129123675,0.00041963873,0.09448798,0.3216296,0.04207593,0.016293345,0.46037492,0.000419607,0.13622737,0.104042046,0.098049924,0.05492128,0.1910811,0.16539203,0.044283543,0.08420491,0.016213242,0.10558454
2022-14,0.011585261,0.03194225,0.03718915,0.09558256,0.04448103,0.29513884,0.027241966,0.01931742,0.42629924,0.011222276,0.07634337,0.13497838,0.111985184,0.07865818,0.17402485,0.10715386,0.073243946,0.11660642,0.017831331,0.10917449
2022-15,0.26581115,0.0004763287,0.00047638832,0.020653842,0.0004763527,0.00047635369,0.0004763933,0.00047634513,0.7102005,0.00047631582,0.12594043,0.1301307,0.11985832,0.06689105,0.16573766,0.1598525,0.02213435,0.09124327,0.01435572,0.10385606
2022-16,0.015016889,0.000282616,0.12736067,0.00028259205,0.21406107,0.0002825961,0.07106075,0.00028261202,0.57108766,0.00028258268,0.1616283,0.10144101,0.091890655,0.11447409,0.17499962,0.12810427,0.020606097,0.06866162,0.030180328,0.10801398
2022-17,0.14473565,0.017785965,0.02741745,0.0737307,0.0073763356,0.16828956,0.039434586,0.012300382,0.50830597,0.0006233572,0.17125863,0.13530701,0.11464586,0.07707167,0.1365831,0.1321757,0.044182062,0.099441804,0.025272267,0.06406183
2022-18,0.00046011337,0.00046011346,0.05668753,0.0983352,0.01852122,0.32228056,0.032665316,0.038546387,0.40148756,0.03055601,0.059370197,0.18490931,0.21043247,0.13967918,0.08039467,0.13182792,0.024523266,0.092448995,0.008937208,0.06747685
2022-19,0.17574053,0.00045780608,0.104900055,0.05079999,0.007781749,0.06386475,0.13298126,0.008655409,0.45436063,0.00045781865,0.1776831,0.09793365,0.12832864,0.08038357,0.15292661,0.114142664,0.05647012,0.08477663,0.028946336,0.07840873
2022-20,0.058746386,0.015322249,0.026676968,0.03114705,0.047272593,0.1460144,0.015896933,0.01955503,0.61992174,0.019446557,0.14393412,0.12887377,0.1699818,0.089333735,0.11239257,0.13108562,0.053003106,0.089385346,0.018209213,0.06380069
2022-21,0.0004172532,0.00041719433,0.07669921,0.14133456,0.00041721214,0.33716846,0.005078125,0.00041721883,0.40864098,0.029409835,0.21232393,0.13237712,0.123204626,0.10293203,0.1200165,0.13281792,0.039994977,0.048128534,0.039285067,0.048919227
2022-22,0.00029151543,0.00029158214,0.027922606,0.13817851,0.0067122206,0.19150332,0.00987408,0.038539402,0.5726042,0.014082548,0.1401511,0.09777356,0.10926612,0.11771606,0.16321933,0.11584386,0.040600955,0.096510574,0.012674279,0.10624416
2022-23,0.06614941,0.0031436423,0.06684117,0.06387683,0.032023102,0.1078553,0.04111421,0.06513075,0.54631853,0.0075470516,0.20981441,0.0919089,0.123268045,0.1352273,0.14948976,0.053008433,0.03685515,0.07107011,0.05110217,0.07825578
2022-24,0.055136777,0.0003926237,0.0749924,0.059091322,0.00039262814,0.18734133,0.019588368,0.02114493,0.581527,0.0003926306,0.09290605,0.13137296,0.1694867,0.07544267,0.20388657,0.051345047,0.046041787,0.11595506,0.04800091,0.065562256
2022-25,0.08243939,0.030359231,0.055443678,0.031198587,0.0034592848,0.14247474,0.0925492,0.039787795,0.50008994,0.022198133,0.09320545,0.12121075,0.22758625,0.0917725,0.15843177,0.077927716,0.048975915,0.08204191,0.03027663,0.06857112
2022-26,0.10915782,0.0029552144,0.050802935,0.053114433,0.0074523585,0.13671887,0.0053683706,0.015727133,0.6183831,0.00031973585,0.1490669,0.1303279,0.10597696,0.071662925,0.15421177,0.15321581,0.040317524,0.09492687,0.05725476,0.043038547
2022-27,0.03507888,0.034186784,0.04014712,0.1143568,0.0003713518,0.245404,0.014058681,0.04640914,0.46961588,0.00037135245,0.013875072,0.10541066,0.24907382,0.11283951,0.17193657,0.10540987,0.03125646,0.12239928,0.013277335,0.07452142
2022-28,0.039057527,0.05251841,0.11234649,0.020889573,0.0005352607,0.1441173,0.012563084,0.029782036,0.58765507,0.0005352672,0.23753177,0.13538049,0.17538974,0.096890315,0.094675615,0.08600799,0.021300057,0.07510604,0.020368224,0.057349723
2022-29,0.07291673,0.0003068933,0.013260369,0.06935415,0.00030690382,0.16949809,0.05110139,0.00920372,0.5921054,0.02194638,0.10021403,0.12192001,0.15092492,0.07994483,0.20191479,0.06563439,0.08453045,0.11402747,0.03266921,0.04821985
2022-30,0.0008199798,0.0008199176,0.0008199628,0.00081995275,0.00081995944,0.20327891,0.0008200392,0.00082000677,0.79016125,0.00082003314,0.10503411,0.11196899,0.1461124,0.070384555,0.1516724,0.054448288,0.07284226,0.10352408,0.017824732,0.16618821
2022-31,0.0008624235,0.046849612,0.36231744,0.00086233433,0.0008623435,0.095888,0.0008623955,0.00086240924,0.48977065,0.000862372,0.074683815,0.12259717,0.22774819,0.054850847,0.14596544,0.08783037,0.0823651,0.078943096,0.022119269,0.10289678
2022-34,0.0006644704,0.0006643895,0.30754915,0.09055682,0.0006644388,0.35577813,0.0006644476,0.0006644272,0.24212928,0.0006644396,0.09305835,0.11910722,0.15234278,0.12759271,0.13734785,0.13824156,0.08164495,0.06346488,0.002890737,0.08430895
