date,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2022-11,0.07154663,0.10803186,0.1290752,0.11770021,0.14033873,0.22193865,0.04175057,0.10346102,0.019906413,0.046250798
2022-12,0.10803034,0.08348864,0.1047146,0.09937533,0.09363886,0.2652121,0.049429785,0.07712459,0.08540018,0.033585563
2022-13,0.13629939,0.10404496,0.09802922,0.05501328,0.1911327,0.16530527,0.044256877,0.084066264,0.016278623,0.10557342
2022-14,0.07633848,0.1349764,0.11203278,0.078777894,0.17407195,0.10708844,0.07311117,0.11660039,0.017822856,0.10917965
2022-15,0.12595059,0.13019705,0.12003701,0.06691528,0.16567296,0.15998383,0.021985985,0.091032475,0.014359288,0.10386557
2022-16,0.16161978,0.101440005,0.09193353,0.11456722,0.17500447,0.12810588,0.020576445,0.06858109,0.030195532,0.107976004
2022-17,0.17131554,0.13530153,0.11412381,0.0768267,0.13621187,0.13220401,0.045290627,0.099494144,0.025228573,0.0640031
2022-18,0.0593374,0.18493137,0.21041054,0.13962607,0.08038522,0.13185206,0.024655236,0.09236797,0.008942429,0.06749169
2022-19,0.17942365,0.09780213,0.12826176,0.08041891,0.15316625,0.11243015,0.056644488,0.08473381,0.028673006,0.07844582
2022-20,0.14398143,0.12888992,0.17079188,0.08791729,0.112155974,0.13018991,0.05457985,0.0894811,0.01822494,0.06378766
2022-21,0.21199822,0.13230015,0.12343776,0.1026712,0.11991195,0.13288061,0.041055787,0.0475998,0.039292,0.04885244
2022-22,0.14017525,0.09777655,0.1092675,0.11768648,0.1631854,0.11584161,0.040895335,0.09624449,0.012681405,0.106245965
2022-23,0.20988016,0.09198743,0.123282716,0.1351294,0.14947258,0.052777022,0.03692476,0.07123848,0.05109055,0.07821695
2022-24,0.0929057,0.13137522,0.16942756,0.07551842,0.20387718,0.051340096,0.046387643,0.11570913,0.048013765,0.06544524
2022-25,0.0934951,0.12120709,0.22754663,0.092009425,0.15855666,0.07793284,0.048882853,0.081859075,0.028944198,0.06956609
2022-26,0.14909229,0.13039696,0.10597453,0.0715913,0.15456809,0.15318625,0.040298127,0.09450619,0.057211906,0.043174326
2022-27,0.01433498,0.105337165,0.24923763,0.1128435,0.17183414,0.1049124,0.03130577,0.12239816,0.013066682,0.07472956
2022-28,0.23718688,0.13532536,0.17539345,0.09672139,0.09465185,0.08656315,0.021380581,0.0750086,0.02035491,0.0574138
